103.109.234.0/24,DE,DE-HE,Frankfurt am Main,
2a0f:b240:e::/48,DE,DE-HE,Frankfurt am Main,
85.155.98.0/24,NL,NL-LI,Eygelshoven,
2a0f:b240:18::/48,NL,NL-LI,Eygelshoven,
